model,image_idx,y_true,k_total,winning_corruption,phase1_l2,phase1_queries,phase1_ssim,phase1_mse,phase1_linf,best_l2,final_l2,final_label,final_ssim,final_mse,final_linf,IR_phase3,n_gens,queries_phase3,q_offspring_eval,q_xi_shrink,q_theta_bs,runtime_sec
standard,5,6,14,blur,1.4655865711736362,139,0.9500734210014343,0.0006992005200535467,0.13824103772640228,1.2001386751043706,1.2270016670294241,3,0.9747171401977539,0.0004900823865379737,0.19846923649311066,0.18112058427002098,17,1880,952,18,910,7.385221242904663
robust,5,6,14,blur,4.297843512296892,118,0.5662108063697815,0.00601284467975016,0.4010198637843132,3.772882567439035,3.7880978122977957,4,0.7265536785125732,0.004671121439195272,0.32923050224781036,0.1221451975521796,15,1907,840,27,1040,8.178156614303589
standard,6,1,14,jpeg,1.7695064097423872,132,0.9564485549926758,0.0010192555124086571,0.1327830534428358,1.0590753088743514,1.059661680019949,5,0.9820806384086609,0.0003655217686019073,0.07693476229906082,0.40148546337928415,19,1889,1064,19,806,7.3153626918792725
robust,6,1,14,blur,4.142088405406816,141,0.8642919659614563,0.005584927199936714,0.3694513440132141,3.7004649758818258,3.7033120706315072,3,0.8893275260925293,0.004464362094401035,0.29600246995687485,0.10661854270143614,16,1874,896,16,962,8.077195644378662
standard,7,6,14,jpeg,1.293167048731106,138,0.936756432056427,0.0005443623098710673,0.15709200501441956,1.0356937168479918,1.0356937168479918,3,0.9568209648132324,0.00034917365947462767,0.10649575293064117,0.19910291724163143,17,1879,952,17,910,7.686617612838745
robust,7,6,14,blur,2.06732328203095,143,0.8782275319099426,0.0013912192553474027,0.21761375665664673,1.426169711094825,1.4365348402817204,4,0.9359118938446045,0.0006717553403279844,0.11574602127075195,0.3101370629881613,19,1863,1064,19,780,8.293659687042236
standard,8,3,14,fractal_random,2.5186118065896705,39,0.8889069557189941,0.002064910622491173,0.18811631202697754,1.7179536197768241,1.7496067615717934,6,0.9355705380439758,0.0009964595977645654,0.09325379133224487,0.3178966225434235,22,1988,1186,48,754,7.9283623695373535
robust,8,3,14,blur,4.6019151563581095,96,0.650237500667572,0.006893757521588048,0.2988060638308525,3.5885501302816962,3.5885501302816962,4,0.8775227665901184,0.0041919570551474765,0.2639120817184448,0.22020506498828546,19,1914,1064,44,806,8.274818420410156
standard,9,1,14,jpeg,1.314203871312481,130,0.9811251163482666,0.0005622173878166381,0.13951319456100464,0.944295003036508,0.944295003036508,9,0.9904101490974426,0.00029026467210572046,0.07953792810440063,0.2814699274219525,18,1884,1008,18,858,7.4566075801849365
robust,9,1,14,blur,3.1110901567140155,138,0.8784777522087097,0.0031506777223967567,0.23005089163780212,2.642094682182151,2.644714621779707,9,0.9333772659301758,0.002276860475537866,0.1693316102027893,0.15074956073507856,18,1875,1008,35,832,8.063561916351318
standard,10,0,14,fractal_random,1.1269887193593744,82,0.9105105996131897,0.00041344517368596445,0.07620653510093689,0.8727716003064423,0.8727716003064423,5,0.9642359614372253,0.00024795906755924527,0.06294423341751099,0.22557201743548888,17,1931,952,17,962,7.5336339473724365
robust,10,0,14,blur,3.3637397071568396,141,0.6836017966270447,0.00368318516194778,0.3274827226996422,2.392529425498647,2.392529425498647,8,0.8658846020698547,0.0018633453639749047,0.2266085147857666,0.28872932099704474,17,1879,952,17,910,8.215868473052979
standard,11,9,14,blur,3.6338828554074785,137,0.8695468902587891,0.004298536655867322,0.26274681091308594,3.3699366173089342,3.4713648078209296,9,0.8919422030448914,0.003922647682828011,0.24618694186210632,0.07263476798812413,3,1889,168,1539,182,7.69840407371521
robust,11,9,14,blur,6.122136235261537,98,0.5921065807342529,0.012200700547884871,0.3462153375148773,6.122136235261537,6.301975532483802,8,0.5871758460998535,0.012928025897991746,0.3520853519439697,0.0,13,1919,728,47,1144,8.152827024459839
standard,12,5,14,fractal_random,1.4643711393246313,129,0.9637115001678467,0.0006980412870074607,0.08951988816261292,1.0875841508772301,1.1223501251140202,3,0.9806725978851318,0.00041004876323245693,0.06693333387374878,0.257302932521038,18,1898,953,35,910,7.512007713317871
robust,12,5,14,blur,2.738258810114587,135,0.880575954914093,0.002440775166396535,0.19985556602478027,1.8599293327062518,1.8758923769476423,3,0.9496639370918274,0.0011454987463509715,0.11366859078407288,0.3207620383303286,17,1890,952,28,910,8.245099544525146
standard,13,7,14,blur,3.362439550458608,88,0.925459086894989,0.0036803384539349907,0.29103562235832214,3.3624320940829406,3.3878398846694413,7,0.9248182773590088,0.003736152063874501,0.29595017433166504,2.2175493583378823e-06,5,1938,280,1450,208,7.58376932144165
robust,13,7,14,fractal_random,8.412716292020654,96,0.5896841287612915,0.02303834486003573,0.6221139132976532,7.356322404813629,7.365441918734559,6,0.7220446467399597,0.017659418915099718,0.578506737947464,0.12557108198323533,17,1905,952,17,936,8.02473759651184
standard,14,9,14,blur,3.789012615480116,89,0.8222498893737793,0.004673377799566235,0.25127702951431274,2.213997677210483,2.2151755608118684,6,0.9424543380737305,0.0015973316346839675,0.12520122528076172,0.4156795181506828,19,1926,1064,56,806,7.774727821350098
robust,14,9,14,blur,7.480732042188097,97,0.349863737821579,0.01821658590072257,0.46413272619247437,6.898752630021073,7.20923901519481,4,0.5318942666053772,0.016918335684511194,0.3749356269836426,0.07779712050704557,16,1930,842,74,1014,8.184455871582031
standard,15,5,14,fractal_random,1.1595185657630382,129,0.9871938228607178,0.0004376573256344965,0.0762404203414917,1.123310328328482,1.1302356600332335,7,0.9880865216255188,0.00041583092589840727,0.06954139471054077,0.03122695789758993,16,1898,868,16,1014,7.492261171340942
robust,15,5,14,blur,2.932463451186814,142,0.9390104413032532,0.002799264938979974,0.2434740513563156,2.6049575690140805,2.6152297336107897,3,0.9544548392295837,0.00222637583357131,0.24156281352043152,0.11168285219042941,16,1874,896,16,962,8.07198190689087
standard,16,7,14,fractal_random,1.948032719252633,130,0.9519458413124084,0.0012352967041923202,0.14292094111442566,1.1586235177244917,1.164784171119744,9,0.9842492938041687,0.000441641328905834,0.0881689190864563,0.40523405676214713,20,1896,1120,48,728,7.427985906600952
robust,16,7,14,jpeg,6.296150002992134,142,0.6122636198997498,0.01290413569667248,0.5464462637901306,6.296150002992134,6.348668921609223,7,0.6052654385566711,0.013120311536369028,0.5494064688682556,0.0,2,1884,112,1642,130,8.037420988082886
standard,17,8,14,jpeg,2.2558793179234433,136,0.9184669852256775,0.0016565727529409963,0.21690914034843445,2.098730839901588,2.098730839901588,8,0.9278194904327393,0.0014338122381867514,0.20471516251564026,0.06966173978070415,18,1891,996,219,676,7.368549823760986
robust,17,8,14,fractal_random,10.8835781436654,52,0.320566326379776,0.03855868268530964,0.7945491001009941,4.221727066108818,4.22243075596761,0,0.8054159283638,0.005803685434469972,0.3448546230792999,0.6121011848878025,20,1975,1086,31,858,8.17990231513977
standard,18,6,14,blur,2.8361868024176253,139,0.8861721158027649,0.0026184751231145553,0.20475727319717407,2.491717075264739,2.491717075264739,5,0.9156250357627869,0.0020210462221304268,0.17128872871398926,0.12145523237723736,14,1888,776,20,1092,7.603619813919067
robust,18,6,14,blur,6.567237388532905,72,0.45458126068115234,0.014039260064239759,0.40000009536743164,6.475817944260789,6.5449252847466415,6,0.6380634903907776,0.013944025827948315,0.3997753858566284,0.013920532921764667,14,1955,747,38,1170,9.116631984710693
standard,19,7,14,fractal_random,1.209834778475553,128,0.98382169008255,0.0004764649059925098,0.07036900520324707,0.9900311584647654,1.0116066068089367,5,0.9881352782249451,0.0003331210681375833,0.06566405296325684,0.18168069220803038,19,1899,1022,19,858,9.081174850463867
robust,19,7,14,blur,5.279730155173277,141,0.7627689838409424,0.009074072432111344,0.4323003888130188,4.440203864612658,4.469166692996003,6,0.828732430934906,0.006501774401488161,0.23613092303276062,0.1590093178792517,17,1875,952,39,884,9.320549249649048
standard,20,0,14,fractal_random,0.8442572997104631,81,0.9088840484619141,0.00023202161071432382,0.056522421073168516,0.560183537622605,0.5627677574158405,3,0.9637907147407532,0.00010309489754014077,0.05961686372756958,0.33647770908854546,17,1931,952,17,962,7.31946873664856
robust,20,0,14,jpeg,4.305799700331887,93,0.8026044368743896,0.006035127297974664,0.5466096326708794,3.4297991413282087,3.435927884114043,6,0.737144410610199,0.0038429688604456336,0.4903261512517929,0.2034466579892597,18,1918,1008,26,884,8.115338802337646
standard,21,9,14,blur,4.614973876858492,93,0.8357157111167908,0.006932937462267678,0.3815964460372925,3.3465239287766173,3.366080463908163,6,0.8897438049316406,0.003688313085155074,0.250453881919384,0.2748552823760152,19,1934,1057,19,858,7.459527015686035
robust,21,9,14,blur,7.650079092941366,97,0.5081804394721985,0.019050686890709184,0.6273470520973206,7.181619886259403,7.181619886259403,6,0.580270528793335,0.01678895321981423,0.5792942643165588,0.0612358644911533,16,1911,896,79,936,8.219852924346924
standard,22,2,14,jpeg,1.9843329914023717,118,0.9130801558494568,0.0012817634833228793,0.19981205463409424,1.3673916156430792,1.3673916156430792,5,0.9638607501983643,0.0006086457677736052,0.13794973492622375,0.3109061727201776,18,1909,955,18,936,8.108951091766357
robust,22,2,14,blur,4.695850810958755,97,0.7361771464347839,0.007178064726166018,0.29534655809402466,3.475675156452562,3.572916796151477,4,0.8213196396827698,0.004155512546438517,0.2445298135280609,0.25984123082842775,20,1930,1076,22,832,8.717963218688965
standard,23,4,14,fractal_random,0.8824837898693731,127,0.9799097180366516,0.0002535083461530638,0.0596788227558136,0.7491073434672589,0.7491073434672589,3,0.9858099818229675,0.00018266986672078075,0.051669180393218994,0.1511375596166552,16,1874,896,16,962,8.046310424804688
robust,23,4,14,fractal_random,9.962430441155451,52,0.2711898386478424,0.03230794931473337,0.6416700780391693,2.5776308121430174,2.6185123158624712,5,0.9004878997802734,0.0022319683611457947,0.18446433544158936,0.7412648622875543,20,1975,1097,20,858,8.545021533966064
standard,24,0,14,fractal_random,1.7304430396752197,129,0.9521366953849792,0.0009747503624871139,0.13219302892684937,1.0005339459087819,1.0252708940830237,6,0.9842581748962402,0.00034218111676157734,0.0658615231513977,0.42180475001559814,18,1898,970,18,910,7.514128684997559
robust,24,0,14,blur,3.831773875202865,141,0.7831619381904602,0.004779456715718483,0.2673758566379547,3.517420284160387,3.535813188194912,4,0.8168999552726746,0.004069653301495716,0.25331640243530273,0.08203865919040824,16,1886,882,16,988,8.206105947494507
standard,25,9,14,blur,3.037630273373352,133,0.9325695633888245,0.003003645077380946,0.2543327808380127,2.0411458890216196,2.0494173307044634,2,0.9689335823059082,0.0013672237519943497,0.1279982030391693,0.32804663328730777,18,1878,1008,64,806,7.501485347747803
robust,25,9,14,blur,5.591684334526173,143,0.7567482590675354,0.010178038312820775,0.3523377776145935,4.356776487952854,4.36009740702959,3,0.8804438710212708,0.006188297312635211,0.3047966882586479,0.22084720322073798,15,1871,840,17,1014,8.271186828613281
standard,26,6,14,blur,2.935678153083933,143,0.7821464538574219,0.00280540567008278,0.26296787708997726,2.8348272068772666,2.8348272068772666,3,0.8125103116035461,0.0026159652776601232,0.22655391693115234,0.034353543184126714,13,1871,728,51,1092,7.575544357299805
robust,26,6,14,blur,4.258528666031641,118,0.52522212266922,0.005903341926892333,0.34432321041822433,3.786358764862723,3.8202084348513123,4,0.7135098576545715,0.004750648628400969,0.3644762337207794,0.11087629982045295,15,1897,840,17,1040,8.283270120620728
standard,27,6,14,blur,1.5960511291719335,141,0.9223540425300598,0.0008292250022561864,0.13882184028625488,1.3075545917088423,1.3075545917088423,3,0.9393143653869629,0.0005565426565459975,0.08749959617853165,0.1807564508367408,16,1876,896,18,962,7.471733570098877
robust,27,6,14,blur,3.0562376226106167,118,0.7120837569236755,0.0030405561216994142,0.2548895478248596,1.7146850559309372,1.7329084943595332,3,0.9383038878440857,0.0009775299096081217,0.10754962265491486,0.4389555827579057,21,1909,1133,22,754,8.186822891235352
standard,28,5,14,blur,1.1033672124106777,129,0.9704340100288391,0.0003962953142652701,0.09308403730392456,1.043576837305228,1.043576837305228,2,0.9737846255302429,0.0003545093086398979,0.09169822931289673,0.05418900836723013,15,1898,792,66,1040,7.596496105194092
robust,28,5,14,blur,2.837278024581266,142,0.786076009273529,0.0026204904260324776,0.1846633106470108,2.5340431085227415,2.5555040368643827,4,0.9070118069648743,0.0021258466670569126,0.2456667274236679,0.10687529154048155,15,1885,830,15,1040,8.369378805160522
standard,29,4,14,blur,1.9522899437971226,139,0.8753885626792908,0.0012407018309412018,0.1559574007987976,1.9522853680224534,1.9826791206741752,2,0.8672144412994385,0.001279627756866144,0.11965370178222656,2.3437987188875835e-06,15,1868,840,170,858,7.615192651748657
robust,29,4,14,jpeg,2.097368445801462,96,0.9034795165061951,0.0014319513012511851,0.2231065332889557,1.3176274535772587,1.3176274535772587,8,0.9804769158363342,0.0005651504337381353,0.12271186709403992,0.3717711085932938,17,1905,952,17,936,8.11726188659668
standard,30,5,14,fractal_random,1.5180043435521093,130,0.9563408493995667,0.0007501097614072495,0.11714494228363037,1.1254636253638788,1.1295997399617175,2,0.9767024517059326,0.0004153631346636613,0.07768505811691284,0.25858998352382223,17,1877,952,41,884,7.477614641189575
robust,30,5,14,blur,1.252189964045724,143,0.9742111563682556,0.0005104100605653749,0.09596186876296997,0.680371518714951,0.6813122166439985,3,0.9942579865455627,0.00015110231879914246,0.046135544776916504,0.4566547103470419,16,1874,896,16,962,8.09251594543457
standard,31,9,14,blur,1.873082674157991,133,0.9499211311340332,0.0011420698907001466,0.14235162734985352,1.5787375739707956,1.633664998243306,5,0.9579834938049316,0.000868769962271222,0.12072800099849701,0.15714474552999247,17,1894,941,17,936,7.442432403564453
robust,31,9,14,blur,4.86967362916615,72,0.640106737613678,0.007719310304230546,0.3506661653518677,4.86967362916615,4.987275586745757,4,0.676293671131134,0.00809665293286981,0.3409597873687744,0.0,13,1937,728,13,1196,8.065254926681519
standard,32,2,14,jpeg,2.5850495266779494,136,0.9335538744926453,0.002175286801880824,0.23446202278137207,1.4374801661754968,1.4788063604629158,8,0.9787061810493469,0.0007118711772509776,0.10831812024116516,0.4439254833067727,20,1891,1065,20,806,7.477008581161499
robust,32,2,14,jpeg,2.8300038056892967,137,0.9213717579841614,0.002607070813872365,0.27393507957458496,0.7774462027670187,0.783915120620426,3,0.994800329208374,0.00020004000296713334,0.056112051010131836,0.7252843967191563,19,1890,1013,19,858,8.176012754440308
standard,33,4,14,jpeg,1.7931772413058287,137,0.921980082988739,0.0010467072326618432,0.14471587538719177,1.6234389632859292,1.6234389632859292,5,0.9314520359039307,0.0008579277339575954,0.10717497766017914,0.09465783644247713,16,1877,896,19,962,8.215187788009644
robust,33,4,14,fractal_random,5.647087901523647,47,0.5306812524795532,0.01038072974203605,0.39438389241695404,3.1037762906580357,3.1090892189594697,6,0.8454874157905579,0.0031466262453431885,0.19852623343467712,0.45037577866981626,17,1977,952,37,988,9.850242614746094
standard,34,9,14,blur,4.166819023895666,138,0.8123507499694824,0.005651816659472277,0.3480001389980316,4.130047516516568,4.133120395690281,9,0.8118615746498108,0.005560769627627964,0.3460516631603241,0.008824839084256438,15,1889,803,98,988,9.037592887878418
robust,34,9,14,blur,5.925758533641375,144,0.5794084072113037,0.011430538476244657,0.388354629278183,5.622336444825401,5.944983685953279,6,0.6636748909950256,0.011504827748911498,0.5580592155456543,0.05120392386787331,16,1883,848,21,1014,9.601207733154297
standard,35,5,14,blur,2.311531324276304,135,0.9309324622154236,0.0017393154502313027,0.2179931253194809,2.311531324276304,2.35125079523897,5,0.9280958771705627,0.0017996029897815165,0.22918833792209625,0.0,2,1891,112,1649,130,7.423152923583984
robust,35,5,14,blur,3.4951424236495527,141,0.8312075138092041,0.003976569193227497,0.3101026266813278,2.754443527900477,2.757947026696341,3,0.9012811183929443,0.0024759999164706216,0.3401993364095688,0.2119223785380551,17,1880,952,18,910,8.152826070785522
standard,36,4,14,blur,2.9134596247552547,132,0.9310441613197327,0.0027631012321220807,0.2050188183784485,2.3577128770843867,2.366361183414514,2,0.9603142738342285,0.0018228077110606217,0.1528828740119934,0.19075148423158722,16,1868,896,36,936,7.338150501251221
robust,36,4,14,blur,5.536924818246887,142,0.7209718823432922,0.00997966681084581,0.32947711646556854,5.52122067004204,5.56289481796596,4,0.7551982998847961,0.010073502239141911,0.32221265137195587,0.002836258161406512,14,1885,784,61,1040,8.529884576797485
standard,37,6,14,jpeg,2.9880459481292867,140,0.8176336288452148,0.002906386259157503,0.39695045351982117,2.4058233765874744,2.4058233765874744,3,0.8731505870819092,0.0018841100822176327,0.2650139629840851,0.194850608608051,14,1877,784,27,1066,7.967028856277466
robust,37,6,14,blur,5.016282139818067,72,0.5078743696212769,0.008191108888755785,0.6082096695899963,4.480398083868416,4.788743718503096,3,0.585382342338562,0.0074648653589089176,0.4980182945728302,0.10682893047341356,16,1955,857,32,1066,9.117866039276123
standard,38,5,14,fractal_random,1.7582329159792283,129,0.966468334197998,0.0010063095660263087,0.11884112656116486,1.4439237126307112,1.4747065520350073,3,0.9760363698005676,0.0007079294848597942,0.09348124265670776,0.17876425841650567,18,1898,970,18,910,7.664246082305908
robust,38,5,14,blur,7.595411678731336,97,0.43125104904174805,0.018779387555145965,0.5425216555595398,7.5514553007636405,7.5514553007636405,5,0.4302287995815277,0.01856265535543231,0.4141029715538025,0.005787227845829939,3,1929,168,1631,130,8.418424844741821
standard,39,6,14,jpeg,1.999976474778681,139,0.9061383605003357,0.0013020527017148962,0.16887342929840088,1.9253532234495172,1.975933031009598,5,0.9115938544273376,0.0012709346966379511,0.16494370996952057,0.03731206455187013,14,1877,784,27,1066,7.574706554412842
robust,39,6,14,blur,3.35876669073409,72,0.7107102870941162,0.003672302631114854,0.2613414376974106,2.7074972066544762,2.753072231916222,2,0.79032963514328,0.0024672547978728376,0.20584680140018463,0.19390137632253127,17,1955,924,17,1014,8.518355131149292
standard,40,0,14,fractal_random,4.590116650807272,46,0.6000412106513977,0.006858454058599664,0.2927941381931305,2.836219234816905,2.879307683410287,2,0.7785604596138,0.0026987020470408047,0.2418249249458313,0.3821030159836801,19,1981,1051,20,910,7.498519420623779
robust,40,0,14,blur,6.797843877406029,94,0.40753087401390076,0.015042539512235243,0.5122123956680298,5.4073901560943325,5.438800493458917,8,0.5506013035774231,0.009629085570119544,0.36122619919478893,0.2045433443879379,16,1931,896,21,1014,8.116765975952148
standard,41,9,14,jpeg,2.9404839421359306,135,0.9295616149902344,0.002814598246731531,0.23513337969779968,2.425046220481236,2.498128367271963,2,0.9433143734931946,0.002031460107453687,0.23194146156311035,0.1752900991121506,18,1892,953,29,910,7.461712837219238
robust,41,9,14,blur,5.1002113159892515,97,0.7332715392112732,0.008467498524656515,0.3820786476135254,5.1000688001903685,5.476135056964718,8,0.7265531420707703,0.009761736764706786,0.42927035689353943,2.7943116481514304e-05,14,1930,746,40,1144,8.114012956619263
standard,42,3,14,fractal_random,3.2398210141683017,42,0.8197329640388489,0.0034168099621896234,0.2249584197998047,0.2422792796502038,0.24493624514822632,6,0.9985065460205078,1.9529214833060245e-05,0.015244662761688232,0.9252183134220457,22,1985,1180,77,728,7.646971702575684
robust,42,3,14,blur,6.468356090936343,72,0.3350253999233246,0.01361967139295355,0.36912690103054047,3.4118765613655864,3.4761793168533117,6,0.9013893604278564,0.00393353601440903,0.21696561574935913,0.47252802514283165,22,1955,1194,137,624,8.19929027557373
standard,43,9,14,fractal_random,0.35214406753659283,126,0.9987174868583679,4.0366355566802224e-05,0.02442893385887146,0.3287442989588524,0.33341068838782434,8,0.9988718628883362,3.618577052610163e-05,0.023446977138519287,0.06644941867523832,18,1901,973,18,910,7.6425392627716064
robust,43,9,14,blur,0.8629408182940542,132,0.9920043349266052,0.00024240457548112368,0.0645107552409172,0.5907369458027891,0.6006659349425014,3,0.9971211552619934,0.00011744777767325788,0.05008339881896973,0.31543747464557803,20,1895,1069,20,806,8.146442174911499
standard,44,7,14,blur,2.19293747250689,137,0.8649523854255676,0.0015654214708088893,0.20138853788375854,2.180797571251334,2.4379119179229356,7,0.8365135192871094,0.001934705211956778,0.22175338864326477,0.005535908528061401,8,1889,448,791,650,7.749185085296631
robust,44,7,14,blur,1.2723460239763036,136,0.9571090340614319,0.0005269740900808297,0.11936700344085693,1.0754268512955192,1.096702100486178,4,0.9718153476715088,0.00039152197520755694,0.08362102508544922,0.15476856843186226,16,1891,887,16,988,8.115147590637207
standard,45,6,14,blur,1.2084014162931145,142,0.9257592558860779,0.0004753365829750016,0.09445880353450775,0.6798539532188476,0.691017323425967,5,0.9860326647758484,0.0001554378101417086,0.06317311525344849,0.437393945379207,18,1885,1007,20,858,7.501046895980835
robust,45,6,14,blur,0.9056236905410102,118,0.9602017402648926,0.00026697730106416655,0.07232461869716644,0.7571952304415949,0.7712531486127745,4,0.9757599830627441,0.00019363001574331404,0.058979615569114685,0.16389639720085694,18,1909,955,18,936,8.334940671920776
standard,46,9,14,fractal_random,1.6464400105901043,130,0.9505707621574402,0.0008824103868723772,0.10510613024234772,1.476475412398009,1.526426551935986,6,0.9584154486656189,0.0007584563667097113,0.09739939868450165,0.10323157667383083,16,1897,867,16,1014,7.4606897830963135
robust,46,9,14,blur,5.587909364437554,97,0.5648391842842102,0.010164300476943007,0.3813660591840744,5.487656122418082,5.702298390029746,8,0.6469386219978333,0.010584702798557713,0.3693545162677765,0.017941100236432056,15,1928,840,48,1040,7.985473394393921
standard,47,8,14,fractal_random,1.585519902732893,83,0.9118373394012451,0.0008183181516803786,0.109760582447052,1.0435118201269387,1.0435118201269387,6,0.9600083231925964,0.00035446514772225624,0.06909751892089844,0.34184880408736473,22,1944,1207,61,676,7.32245135307312
robust,47,8,14,blur,5.137565346775059,93,0.714806318283081,0.00859198492590623,0.34367185831069946,5.009161609133117,5.009161609133117,8,0.6770593523979187,0.008167871133548693,0.4385577440261841,0.024993110349933186,2,1933,112,1717,104,8.13022232055664
standard,48,3,14,fractal_random,3.4914353548240595,41,0.8530564904212952,0.003968138293266735,0.236722931265831,1.073699753054101,1.080431913178496,6,0.9843127727508545,0.0003799912478302755,0.07358056306838989,0.692476118290265,21,1986,1139,41,806,9.108971357345581
robust,48,3,14,fractal_random,3.3684452758205734,87,0.8615096211433411,0.0036934972578769342,0.22838406264781952,1.4653560572942634,1.4809339543831062,6,0.9872921109199524,0.0007139210202881486,0.12125527858734131,0.5649755488643662,20,1925,1120,51,754,10.754813432693481
standard,49,8,14,jpeg,2.1081032389474985,137,0.9475998878479004,0.0014466468965042103,0.21702176332473755,1.8982069747747397,1.9463491283519054,8,0.9556750655174255,0.0012331624205949418,0.18171805143356323,0.09956640656628973,17,1890,902,78,910,9.83263897895813
robust,49,8,14,fractal_random,12.744243488836188,52,0.171889528632164,0.05286970771573692,0.7553336024284363,6.595506742390153,6.616463872150422,0,0.6474859714508057,0.01425051901185833,0.3980201184749603,0.482471694128589,20,1975,1101,42,832,8.634252309799194
standard,50,8,14,blur,1.6419811111244373,130,0.8633859157562256,0.0008776373597947402,0.1522500142455101,1.632294167594997,1.632294167594997,0,0.8664469718933105,0.0008673125764677704,0.15680236369371414,0.005899546263846342,18,1889,1008,283,598,7.379070281982422
robust,50,8,14,fractal_random,5.928971536772274,47,0.32246533036231995,0.011442937331984307,0.39827725291252136,2.9245703290364666,2.955877889997927,0,0.6302255988121033,0.002844145222485956,0.27217768132686615,0.5067322703612439,20,1975,1120,49,806,8.158601999282837
standard,51,7,14,fractal_random,2.7371432111560234,131,0.9524579644203186,0.0024387867703051787,0.18140900135040283,2.3870873854431176,2.4207965890797336,3,0.9594723582267761,0.0019076354331920818,0.17110201716423035,0.12789094274868465,19,1896,1052,64,780,7.443326473236084
robust,51,7,14,blur,4.808414468576507,139,0.853620707988739,0.007526318262244758,0.32335329055786133,4.616704335549304,4.64437412326599,5,0.8633689284324646,0.0070215530483361405,0.33427169919013977,0.039869718860561815,16,1888,894,32,962,9.220755577087402
standard,52,7,14,jpeg,1.3452886873740058,129,0.9752981662750244,0.0005891281420496338,0.16071739792823792,0.5910326157933414,0.5910326157933414,3,0.9937034249305725,0.00011371079648368336,0.04818388819694519,0.5606648436574361,20,1896,1120,48,728,8.054911613464355
robust,52,7,14,blur,3.853694507228489,94,0.8389647006988525,0.004834297316094736,0.30473893135786057,3.5029061945047153,3.5029061945047153,6,0.884061336517334,0.003994255188616004,0.3409292697906494,0.09102649731726,18,1933,988,61,884,8.887128591537476
standard,53,7,14,blur,2.7036172661472673,134,0.8647248148918152,0.00237940960996407,0.2615986764431,2.239193373173721,2.2526467740683125,5,0.9023933410644531,0.0016518286220879481,0.19613173604011536,0.17177871246375184,18,1885,1008,45,832,7.627285003662109
robust,53,7,14,blur,3.600069829947934,93,0.7519338726997375,0.004218913665527782,0.3392728827893734,3.318437513598718,3.3546868910225585,4,0.8230061531066895,0.0036633867287785937,0.34091785177588463,0.07822968154850733,16,1934,878,16,1040,8.192187309265137
